Symbol,Date,Action,Price,Next_Close,PnL
ITC,1970-01-01 00:00:00.000000069,HOLD,409.95,409.4,0
ITC,1970-01-01 00:00:00.000000070,HOLD,409.4,409.9,0
ITC,1970-01-01 00:00:00.000000071,HOLD,409.9,408.45,0
ITC,1970-01-01 00:00:00.000000072,HOLD,408.45,407.6,0
ITC,1970-01-01 00:00:00.000000073,HOLD,407.6,411.95,0
ITC,1970-01-01 00:00:00.000000074,HOLD,411.95,416.45,0
ITC,1970-01-01 00:00:00.000000075,HOLD,416.45,416.85,0
ITC,1970-01-01 00:00:00.000000076,HOLD,416.85,414.15,0
ITC,1970-01-01 00:00:00.000000077,HOLD,414.15,412.0,0
ITC,1970-01-01 00:00:00.000000078,HOLD,412.0,413.6,0
ITC,1970-01-01 00:00:00.000000079,HOLD,413.6,414.5,0
ITC,1970-01-01 00:00:00.000000080,HOLD,414.5,416.85,0
ITC,1970-01-01 00:00:00.000000081,HOLD,416.85,416.35,0
ITC,1970-01-01 00:00:00.000000082,HOLD,416.35,414.1,0
ITC,1970-01-01 00:00:00.000000083,HOLD,414.1,411.45,0
ITC,1970-01-01 00:00:00.000000084,HOLD,411.45,406.3,0
ITC,1970-01-01 00:00:00.000000085,HOLD,406.3,409.1,0
ITC,1970-01-01 00:00:00.000000086,HOLD,409.1,406.05,0
ITC,1970-01-01 00:00:00.000000087,HOLD,406.05,405.55,0
ITC,1970-01-01 00:00:00.000000088,HOLD,405.55,398.3,0
ITC,1970-01-01 00:00:00.000000089,HOLD,398.3,399.35,0
ITC,1970-01-01 00:00:00.000000090,HOLD,399.35,403.35,0
ITC,1970-01-01 00:00:00.000000091,HOLD,403.35,400.9,0
ITC,1970-01-01 00:00:00.000000092,HOLD,400.9,409.75,0
ITC,1970-01-01 00:00:00.000000093,HOLD,409.75,405.85,0
ITC,1970-01-01 00:00:00.000000094,HOLD,405.85,406.75,0
ITC,1970-01-01 00:00:00.000000095,HOLD,406.75,411.75,0
ITC,1970-01-01 00:00:00.000000096,HOLD,411.75,415.9,0
ITC,1970-01-01 00:00:00.000000097,HOLD,415.9,407.35,0
ITC,1970-01-01 00:00:00.000000098,HOLD,407.35,407.55,0
ITC,1970-01-01 00:00:00.000000099,HOLD,407.55,410.05,0
ITC,1970-01-01 00:00:00.000000100,HOLD,410.05,413.05,0
ITC,1970-01-01 00:00:00.000000101,HOLD,413.05,415.05,0
ITC,1970-01-01 00:00:00.000000102,HOLD,415.05,413.75,0
ITC,1970-01-01 00:00:00.000000103,HOLD,413.75,412.65,0
ITC,1970-01-01 00:00:00.000000104,HOLD,412.65,413.1,0
ITC,1970-01-01 00:00:00.000000105,HOLD,413.1,409.3,0
ITC,1970-01-01 00:00:00.000000106,HOLD,409.3,411.55,0
ITC,1970-01-01 00:00:00.000000107,HOLD,411.55,410.65,0
ITC,1970-01-01 00:00:00.000000108,HOLD,410.65,406.95,0
ITC,1970-01-01 00:00:00.000000109,HOLD,406.95,403.2,0
ITC,1970-01-01 00:00:00.000000110,HOLD,403.2,401.0,0
ITC,1970-01-01 00:00:00.000000111,HOLD,401.0,400.1,0
ITC,1970-01-01 00:00:00.000000112,HOLD,400.1,405.1,0
ITC,1970-01-01 00:00:00.000000113,HOLD,405.1,407.25,0
ITC,1970-01-01 00:00:00.000000114,HOLD,407.25,401.55,0
ITC,1970-01-01 00:00:00.000000115,HOLD,401.55,405.6,0
ITC,1970-01-01 00:00:00.000000116,HOLD,405.6,404.3,0
TATAELXSI,1970-01-01 00:00:00.000000051,HOLD,6310.0,6208.5,0
TATAELXSI,1970-01-01 00:00:00.000000052,HOLD,6208.5,6185.0,0
TATAELXSI,1970-01-01 00:00:00.000000053,HOLD,6185.0,6215.0,0
TATAELXSI,1970-01-01 00:00:00.000000054,HOLD,6215.0,6209.0,0
TATAELXSI,1970-01-01 00:00:00.000000055,HOLD,6209.0,6175.0,0
TATAELXSI,1970-01-01 00:00:00.000000056,HOLD,6175.0,6171.5,0
TATAELXSI,1970-01-01 00:00:00.000000057,HOLD,6171.5,6152.0,0
TATAELXSI,1970-01-01 00:00:00.000000058,HOLD,6152.0,6137.5,0
TATAELXSI,1970-01-01 00:00:00.000000059,HOLD,6137.5,6066.0,0
TATAELXSI,1970-01-01 00:00:00.000000060,HOLD,6066.0,6179.0,0
TATAELXSI,1970-01-01 00:00:00.000000061,HOLD,6179.0,6380.0,0
TATAELXSI,1970-01-01 00:00:00.000000062,HOLD,6380.0,6311.0,0
